"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"TUR","FISHLAND","NLD","TONNE","A","2015",397730.7,
"TUR","FISHLAND","NLD","TONNE","A","2016",301582.1,
"TUR","FISHLAND","NLD","TONNE","A","2017",322172.5,
"TUR","FISHLAND","NLD","TONNE","A","2018",283954.8,
"GBR","FISHLAND","NLD","TONNE","A","2015",415832.9285,
"GBR","FISHLAND","NLD","TONNE","A","2016",445793.653,
"GBR","FISHLAND","NLD","TONNE","A","2017",435122.5725,
"GBR","FISHLAND","NLD","TONNE","A","2018",426712.5369,
"USA","FISHLAND","NLD","TONNE","A","2015",4927876,
"USA","FISHLAND","NLD","TONNE","A","2016",4856718,
"USA","FISHLAND","NLD","TONNE","A","2017",4992301,
"USA","FISHLAND","NLD","TONNE","A","2018",4690710,
"ARG","FISHLAND","NLD","TONNE","A","2015",767648.508,
"ARG","FISHLAND","NLD","TONNE","A","2016",694971.715,
"ARG","FISHLAND","NLD","TONNE","A","2017",779214.897,
"ARG","FISHLAND","NLD","TONNE","A","2018",791636.128,
"CHL","FISHLAND","NLD","TONNE","A","2015",2098360,
"CHL","FISHLAND","NLD","TONNE","A","2016",1921691,
"CHL","FISHLAND","NLD","TONNE","A","2017",2312603,
"CHL","FISHLAND","NLD","TONNE","A","2018",2357237,
"EST","FISHLAND","NLD","TONNE","A","2015",72102.51747,
"EST","FISHLAND","NLD","TONNE","A","2016",72303.87146,
"EST","FISHLAND","NLD","TONNE","A","2017",75152.21729,
"EST","FISHLAND","NLD","TONNE","A","2018",77232.04232,
"SVN","FISHLAND","NLD","TONNE","A","2015",194,
"SVN","FISHLAND","NLD","TONNE","A","2016",152.0581,
"SVN","FISHLAND","NLD","TONNE","A","2017",127.86578,
"SVN","FISHLAND","NLD","TONNE","A","2018",126.25884,
"TWN","FISHLAND","NLD","TONNE","A","2015",485951.23417,
"TWN","FISHLAND","NLD","TONNE","A","2016",360921.60695,
"TWN","FISHLAND","NLD","TONNE","A","2017",416329.7245,
"TWN","FISHLAND","NLD","TONNE","A","2018",447148.85615,
"THA","FISHLAND","NLD","TONNE","A","2015",1317217,
"THA","FISHLAND","NLD","TONNE","A","2016",1343283,
"THA","FISHLAND","NLD","TONNE","A","2017",1300421,
"THA","FISHLAND","NLD","TONNE","A","2018",1502831,
"CHN","FISHLAND","NLD","TONNE","A","2015",15337111,
"CHN","FISHLAND","NLD","TONNE","A","2016",13859541,
"CHN","FISHLAND","NLD","TONNE","A","2017",13210403,
"CHN","FISHLAND","NLD","TONNE","A","2018",12702097,
